Item_Code,unit_picks_qty
61166,516
61168,276
61169,60
61200,156
61201,364
61202,300
61274,36
61287,16
61288,18
61291,24
61298,246
61300,159
61301,36
61313,220
61314,144
61315,44
61316,500
61321,52
61323,44
61324,32
61325,436
61326,90
61328,72
61369,254
61370,458
61371,254
61372,128
61373,548
61374,70
61376,192
61379,180
61381,214
61382,350
61386,84
61389,84
61404,28
61405,28
61410,192
61411,102
61435,22
61436,20
61437,0
61438,44
61439,42
61440,168
61442,212
61443,10
61445,32
61511,100
61512,72
61513,260
61514,198
61515,78
61517,51
61518,27
61519,99
61520,36
61522,132
61523,36
61524,192
61526,108
61528,21
61529,36
61530,42
61531,48
61532,76
61533,204
61534,184
61536,0
61537,0
61538,318
61539,116
61540,356
61541,268
61543,0
61544,0
61545,582
61546,272
61547,560
61548,424
61549,256
61550,0
61551,0
61552,666
61621,408
61628,136
61629,196
61630,204
61631,124
61632,140
61633,124
61635,180
61636,93
61637,156
61638,42
61639,153
61653,44
61654,160
61656,24
61658,117
61659,153
61660,84
61661,108
61662,219
61663,42
61664,156
61665,18
61666,228
61667,174
61668,87
61675,70
61676,84
61677,108
61678,104
61708,174
61710,108
61711,12
61713,75
61714,116
61715,36
61720,44
61721,276
61726,300
61730,0
61731,196
61992,150
62010,368
62011,352
62012,376
62013,348
62014,360
62015,324
62016,1128
62017,220
62018,504
62020,172
62021,0
62022,0
62023,108
62024,444
62025,150
62026,148
62046,28
62047,60
62074,0
62097,261
62098,75
62099,300
62100,243
62101,231
80121,300
896049,0
896061/02,0
896140,0
896141,0
896151,0
