ITEMID],[ITEMBARCODE],[QTY],[InnerBarcode],[InnerQty],[OuterBarcode],[OuterQty],[PalletBarcode],[PalletQty],[BCItemType],[BCInnerType],[BCOuterType],[BCPalletType],[InnerPfx],[OuterPfx],[PalletPfx],[MODIFIEDBY],[MODIFIEDDATETIME],[InnerModBy],[InnerModDT],[OuterModBy],[OuterModDT],[PalletModBy],[PalletModDT],[UnitTypItm],[UnitTypInnr],[UnitTypOutr],[UnitTypPllt],[ItemIDTyp],[ItemBCCfg],[InnerBCConfig],[OuterBCConfig],[PalletBCConfig],[DataAreaID],[ItemHeight],[ItemWidth],[ItemDepth],[ItemWeight],[InnerHeight],[InnerWidth],[InnerDepth],[InnerWeight],[OuterHeight],[OuterWidth],[OuterDepth],[OuterWeight],[PalletHeight],[PalletWidth],[PalletDepth],[PalletWeight],[InnerWMSQty],[OuterWMSQty],[PalletWMSQty],[INVENTDIMID],[Status]
90101/04,9314689540964,1.000000000000,19314689540961,0.000000000000,29314689540968,1.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,Admin,2011-11-15 02:53:10.000,SY,2016-08-04 23:57:59.000,Admin,2018-06-05 22:03:22.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,500,500,1900,4200,0,0,0,0,500,500,2320,4200,0,0,0,0,0.000000000000,1.000000000000,1.000000000000,AllBlank,Seasonal
90104,9314689461979,1.000000000000,19314689461976,0.000000000000,29314689461973,1.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,Admin,2011-11-15 02:51:29.000,SY,2015-06-19 07:30:28.000,WP,2011-12-05 00:00:37.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,280,460,690,5560,0,0,0,0,280,460,690,5560,0,0,0,0,0.000000000000,1.000000000000,1.000000000000,AllBlank,DeadSeason
90120,9314689530187,1.000000000000,19314689530184,0.000000000000,29314689530181,1.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,Admin,2015-09-08 00:25:09.000,SY,2016-02-24 01:21:11.000,Admin,2015-09-08 00:25:10.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,560,670,680,24250,0,0,0,0,560,670,670,24250,0,0,0,0,0.000000000000,1.000000000000,1.000000000000,AllBlank,DeadSeason
519844,9314689899413,1.000000000000,19314689899410,6.000000000000,29314689899417,156.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,SY,2020-07-07 07:58:24.000,SY,2020-07-15 00:47:49.000,SY,2020-07-15 00:46:12.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.000000000000,156.000000000000,1.000000000000,AllBlank,Seasonal
519845,9314689899420,1.000000000000,19314689899427,6.000000000000,29314689899424,156.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,SY,2020-07-07 07:58:51.000,SY,2020-07-15 00:47:49.000,SY,2020-07-15 00:46:12.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.000000000000,156.000000000000,1.000000000000,AllBlank,Seasonal
519846,9314689899437,1.000000000000,19314689899434,6.000000000000,29314689899431,156.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,SY,2020-07-07 07:59:46.000,SY,2020-07-15 00:47:49.000,SY,2020-07-15 00:46:12.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.000000000000,156.000000000000,1.000000000000,AllBlank,Seasonal
519847,9314689899444,1.000000000000,19314689899441,6.000000000000,29314689899448,156.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,SY,2020-07-07 08:00:09.000,SY,2020-07-15 00:47:49.000,SY,2020-07-15 00:46:12.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.000000000000,156.000000000000,1.000000000000,AllBlank,Seasonal
519848,9314689899451,1.000000000000,19314689899458,6.000000000000,29314689899455,156.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,SY,2020-07-07 08:01:06.000,SY,2020-07-15 00:47:49.000,SY,2020-07-15 00:46:12.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.000000000000,156.000000000000,1.000000000000,AllBlank,Seasonal
519849,9314689899468,1.000000000000,19314689899465,6.000000000000,29314689899462,156.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,SY,2020-07-07 08:01:34.000,SY,2020-07-15 00:47:49.000,SY,2020-07-15 00:46:12.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.000000000000,156.000000000000,1.000000000000,AllBlank,Seasonal
519850,9314689899475,1.000000000000,19314689899472,6.000000000000,29314689899479,156.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,SY,2020-07-07 08:01:57.000,SY,2020-07-15 00:47:49.000,SY,2020-07-15 00:46:12.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.000000000000,156.000000000000,1.000000000000,AllBlank,Seasonal
