item,des,externalid,owner,hits,units,aveunitday,cases,pallets,cube,unitpcase,dayshit,physqty,contnum,familycode,ti,hi,majgroup,mingroup,catagory,loccode,aisle,bay,level,position
"          10","Freight & Handling Charge","10","LAD",1,1,1.000,0.001,0.000,0.000000,1000,1,78.000,"0","",5,5,"KD","099","","  R"," AA"," 11"," 1"," 2"
"         10R","Freight for Reps Samples","10R","LAD",62,1,0.063,0.010,0.000,0.000000,100,16,518.000,"","",5,5,"","","","  R"," Z9"," 97"," 1"," 3"
"        ZLAB","LABOUR","ZLAB","LAD",18,99,19.800,0.020,0.001,0.000000,5000,5,31484.000,"0","",5,5,"KD","100","","  R"," Z9"," 99"," C"," 9"
"       10007","Marine Navy PVC Apron","10007","LAD",8,4,0.571,0.040,0.002,0.013230,100,7,140.000,"0","SML",5,5,"KD","002","","  R"," CC"," 33"," 3"," 1"
"       11501","Navy Stripe Large PVC Apron","11501","LAD",38,4,0.400,0.111,0.004,0.112700,36,10,132.000,"4","SML",5,5,"KD","002","","  R"," BB"," 33"," 3"," 4"
"       11503","Red Stripe Large PVC Apron","11503","LAD",1,4,4.000,0.111,0.004,0.005120,36,1,0.000,"","",5,5,"KD","002","","  R"," BB"," 34"," 3"," 7"
"       11566","Penny Red Coated Fabric Apron","       11566","LAD",1,4,4.000,0.111,0.004,0.004460,36,1,24.000,"","",5,5,"KD","002","","  R"," EE"," 46"," 2"," 2"
"       11571","Lillian Coated Fabric Apron","       11571","LAD",1,4,4.000,0.111,0.004,0.004320,36,1,47.000,"","",5,5,"KD","002","","  R"," EE"," 45"," 4"," 4"
"       13105","Black Fabric Apron","13105","LAD",11,8,2.667,0.111,0.004,0.080640,72,3,2.000,"4","SML",5,5,"KD","003","","  R"," BB"," 33"," 3"," 6"
"       13112","Number 1 Best Dad Apron","       13112","LAD",6,8,4.000,0.111,0.005,0.038280,72,2,192.000,"","",6,4,"KD","005","","  R"," EE"," 45"," 4"," 2"
"       13112","Number 1 Best Dad Apron","       13112","LAD",1,2,2.000,0.028,0.001,0.001600,72,1,192.000,"","",6,4,"KD","005","","  R"," HH"," 46"," 2"," 1"
"       16008","Jute Assorted Produce Bag Set","       16008","LAD",4,20,5.000,0.417,0.017,0.091860,48,4,190.000,"","",5,5,"KD","060","","  R"," DD"," 29"," 2"," 5"
"       16024","Eco Recycled Natural Fabric Produ","       16024","LAD",2,6,3.000,0.250,0.010,0.012800,24,2,1933.000,"","",6,4,"KD","060","","  R"," EE"," 31"," 3"," 2"
"       16025","Eco Recycled Natural Mesh Produce","       16025","LAD",6,1,0.167,0.042,0.002,0.039100,24,6,1168.000,"","",6,4,"KD","060","","  R"," EE"," 31"," 2"," 6"
"       16025","Eco Recycled Natural Mesh Produce","       16025","LAD",1,1,1.000,0.042,0.002,0.001910,24,1,1168.000,"","",6,4,"KD","060","","  R"," NN"," 39"," C"," 2"
"       16026","Eco Recycled Charcoal Fabric Prod","       16026","LAD",3,6,2.000,0.250,0.010,0.024570,24,3,939.000,"","",6,4,"KD","060","","  R"," EE"," 31"," 1"," 4"
"       16027","Eco Recycled Charcoal Mesh Produc","       16027","LAD",2,12,6.000,0.500,0.021,0.053360,24,2,334.000,"","",6,4,"KD","060","","  R"," EE"," 33"," 2"," 1"
"       16028","Eco Assorted 3pce Set Beeswax Wra","       16028","LAD",2,12,6.000,0.125,0.005,0.005880,96,2,1092.000,"","",6,4,"KD","060","","  R"," EE"," 41"," 2"," 6"
"       16032","Eco Recycled PET Leopard Print Sh","       16032","LAD",2,60,30.000,0.303,0.012,0.013730,198,2,39.000,"","",5,5,"KD","060","","  R"," FF"," 32"," 1"," 1"
"       16032","Eco Recycled PET Leopard Print Sh","       16032","LAD",1,1,1.000,0.005,0.000,0.000230,198,1,39.000,"","",5,5,"KD","060","","  R"," Z9"," 99"," C"," 9"
