activ,rtype,depth,high,shgt,usedhgt,weight,usedwgt,slottype,link,serial,mixbatch,mixitems,noalloc,frzstock,radionum,width,wide,usedwidth,check_num,pltperpos,oldslot,autoreleas,mixitemmov,fznomove,movetoslot,desc,item,sdepth,usedvol,svolume,isrecvbay,usedeffrz,deffrzcode,loccode,aisle,bay,level,position,loccodemt,aislemt,baymt,levelmt,positionmt,ispickslot,area,okpickslot,multiitmpk,hostloc,replenmeth,mixuseby,chargegrp,stkcfgmvfr,okstkcfgmv,cycitmacc,category,addsltocyc,counttimes,canmvfrz,donotpick,lstcounted
Y,1,1000,1000,1500,27,1000,12,R, ,0, , ,F, ,,1210,1000,1310,75,F,01011B,F, ,F,,,,1210,1.22705,2.808,F, ,,  R, II,1, B,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,0,1000,0,R, ,0, , ,F, ,,1210,1,0,77,F,01011C,F, ,F,,,,1210,0.2646,2.808,F, ,,  R, II,1, C,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,265,1000,100.8,R, ,0, , ,F, ,,1210,1,1310,29,F,01012B,F, ,F,,,,1210,0.8855,2.808,F, ,,  R, II,1, B,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,700,1000,201.89,R, ,0, , ,F, ,,1210,1,1310,57,F,01012C,F, ,F,,,,1210,0.34653,2.808,F, ,,  R, II,1, C,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,296,1000,48,R, ,0, , ,F, ,,1210,1,1310,40,F,01031B,F, ,F,,,,1210,1.44084,2.808,F, ,,  R, II,3, B,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,108,1000,16.6,R, ,0, , ,F, ,,1210,1,1310,65,F,01031C,F, ,F,,,,1210,0.3159,2.808,F, ,,  R, II,3, C,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,108,1000,90.3,R, ,0, , ,F, ,,1210,1,1310,28,F,01032B,F, ,F,,,,1210,1.0692,2.808,F, ,,  R, II,3, B,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,496,1000,98.1,R, ,0, , ,F, ,,1210,1,1310,56,F,01032C,F, ,F,,,,1210,0,2.808,F, ,,  R, II,3, C,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,128,1000,29.9,R, ,0, , ,F, ,,1210,1,1310,51,F,01051B,F, ,F,,,,1210,1.9022,2.808,F, ,,  R, II,5, B,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,703,1000,145.6,R, ,0, , ,F, ,,1210,1,1310,28,F,01051C,F, ,F,,,,1210,1.1232,2.808,F, ,,  R, II,5, C,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,0,1000,0,R, ,0, , ,F, ,,1210,1,0,47,F,01052B,F, ,F,,,,1210,0.7728,2.808,F, ,,  R, II,5, B,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,1023,1000,305.85,R, ,0, , ,F, ,,1210,1,1310,33,F,01052C,F, ,F,,,,1210,0.65268,2.808,F, ,,  R, II,5, C,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,685,1000,145.9,R, ,0, , ,F, ,,1210,1,1310,9,F,01071B,F, ,F,,,,1210,0.12144,2.808,F, ,,  R, II,7, B,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,412,1000,78.2,R, ,0, , ,F, ,,1210,1,1310,58,F,01071C,F, ,F,,,,1210,0.90768,2.808,F, ,,  R, II,7, C,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,514,1000,135.9,R, ,0, , ,F, ,,1210,1,1310,69,F,01072B,F, ,F,,,,1210,0.3848,2.808,F, ,,  R, II,7, B,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,751,1000,183.2,R, ,0, , ,F, ,,1210,1,1310,13,F,01072C,F, ,F,,,,1210,0.36403,2.808,F, ,,  R, II,7, C,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
